STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,CLIM_ACT_POL,Climate actions and policies,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1990,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1991,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1992,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1993,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1994,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1995,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1996,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1997,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1998,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,1999,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2000,,0,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2001,,1,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2002,,1,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2003,,1,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2004,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2005,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2006,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2007,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2008,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2009,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2010,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2011,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2012,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2013,,2,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Climate actions and policies measurement framework,I,SVK,Slovak Republic,A,Annual,POL_COUNT,Adopted policies,LEV2_SEC_B_NMBI,Buildings - Non market-based instruments,PL,Policies,2014,,2,,A,Normal value,0,Units,0,Zero
